rotation_deg,inside_ratio,outside_ratio,iou,score
0,0.838119,0.161881,0.784406,0.708577
2,0.835472,0.164528,0.781521,0.705799
4,0.835709,0.164291,0.781574,0.705935
6,0.835178,0.164822,0.781286,0.705537
8,0.835502,0.164498,0.781805,0.705969
10,0.835911,0.164089,0.782338,0.706446
12,0.835654,0.164346,0.782437,0.706385
14,0.833977,0.166023,0.781267,0.704987
16,0.834668,0.165332,0.782071,0.70574
18,0.83389,0.16611,0.781286,0.704958
20,0.835033,0.164967,0.782309,0.706035
22,0.83519,0.16481,0.782519,0.706221
24,0.835615,0.164385,0.782532,0.70642
26,0.835627,0.164373,0.782258,0.706274
28,0.835436,0.164564,0.782307,0.706215
30,0.836647,0.163353,0.783831,0.707598
32,0.834471,0.165529,0.781269,0.70521
34,0.836453,0.163547,0.78392,0.70756
36,0.836608,0.163392,0.784778,0.708102
38,0.837141,0.162859,0.785634,0.708812
40,0.836115,0.163885,0.785012,0.708009
42,0.835863,0.164137,0.785149,0.70797
44,0.834929,0.165071,0.783803,0.70681
46,0.835731,0.164269,0.784668,0.707647
48,0.835142,0.164858,0.783957,0.70699
50,0.835758,0.164242,0.784439,0.707533
52,0.834941,0.165059,0.783555,0.706678
54,0.835713,0.164287,0.783977,0.707258
56,0.832722,0.167278,0.780827,0.70418
58,0.833193,0.166807,0.781175,0.704583
60,0.831935,0.168065,0.779899,0.703315
62,0.833461,0.166539,0.781426,0.704842
64,0.832734,0.167266,0.780765,0.704151
66,0.834286,0.165714,0.782553,0.705832
68,0.83361,0.16639,0.781526,0.704964
70,0.833846,0.166154,0.781424,0.705014
72,0.833445,0.166555,0.780813,0.704497
74,0.834226,0.165774,0.781898,0.705446
76,0.834283,0.165717,0.781741,0.705385
78,0.83427,0.16573,0.7822,0.705632
80,0.835949,0.164051,0.784354,0.707572
82,0.835105,0.164895,0.783221,0.706569
84,0.836054,0.163946,0.783719,0.70727
86,0.833766,0.166234,0.781232,0.704872
88,0.835771,0.164229,0.783072,0.706787
90,0.838425,0.161575,0.785803,0.709483
92,0.836355,0.163645,0.783274,0.707161
94,0.835767,0.164233,0.782947,0.706716
96,0.834769,0.165231,0.781821,0.705647
98,0.835298,0.164702,0.782727,0.706384
100,0.835704,0.164296,0.78388,0.707201
102,0.835771,0.164229,0.784124,0.707365
104,0.835157,0.164843,0.783413,0.706698
106,0.835128,0.164872,0.78361,0.706793
108,0.834259,0.165741,0.78263,0.705863
110,0.834019,0.165981,0.782375,0.705615
112,0.834229,0.165771,0.782085,0.70555
114,0.834626,0.165374,0.782377,0.705889
116,0.836159,0.163841,0.783443,0.707165
118,0.835487,0.164513,0.782877,0.706551
120,0.836287,0.163713,0.783733,0.707382
122,0.834509,0.165491,0.781163,0.705168
124,0.836118,0.163882,0.782911,0.706854
126,0.83608,0.16392,0.783715,0.707279
128,0.835885,0.164115,0.78405,0.707376
130,0.836958,0.163042,0.78542,0.708612
132,0.835977,0.164023,0.784551,0.707693
134,0.835925,0.164075,0.784261,0.70751
136,0.835469,0.164531,0.783729,0.707012
138,0.835018,0.164982,0.783262,0.706552
140,0.834545,0.165455,0.782371,0.705849
142,0.83573,0.16427,0.783674,0.707099
144,0.834928,0.165072,0.782656,0.706178
146,0.83283,0.16717,0.780441,0.704016
148,0.832722,0.167278,0.780552,0.704028
150,0.833036,0.166964,0.780877,0.704349
152,0.832681,0.167319,0.780502,0.703982
154,0.832479,0.167521,0.780609,0.70395
156,0.834144,0.165856,0.782783,0.705896
158,0.833061,0.166939,0.781399,0.704647
160,0.833457,0.166543,0.781784,0.705037
162,0.833585,0.166415,0.781853,0.705132
164,0.833961,0.166039,0.782635,0.705732
166,0.834712,0.165288,0.782821,0.706172
168,0.835232,0.164768,0.783306,0.706673
170,0.83651,0.16349,0.784811,0.708076
172,0.836566,0.163434,0.783923,0.707612
174,0.835964,0.164036,0.783392,0.707049
176,0.83478,0.16522,0.78164,0.705553
178,0.836025,0.163975,0.783113,0.706924
180,0.83868,0.16132,0.787041,0.710278
182,0.835884,0.164116,0.782782,0.706678
184,0.836773,0.163227,0.78378,0.707627
186,0.835015,0.164985,0.781181,0.705407
188,0.836137,0.163863,0.782819,0.706812
190,0.836526,0.163474,0.783732,0.707489
192,0.836365,0.163635,0.783508,0.707294
194,0.835378,0.164622,0.782042,0.706043
196,0.835972,0.164028,0.783224,0.706961
198,0.835375,0.164625,0.782995,0.706566
200,0.834407,0.165593,0.782082,0.705628
202,0.834617,0.165383,0.781919,0.705633
204,0.834849,0.165151,0.782085,0.705829
206,0.835958,0.164042,0.782877,0.706763
208,0.836795,0.163205,0.784173,0.707853
210,0.835439,0.164561,0.782264,0.706193
212,0.83619,0.16381,0.783147,0.707016
214,0.835311,0.164689,0.78236,0.706188
216,0.836911,0.163089,0.783995,0.707807
218,0.835582,0.164418,0.783531,0.706954
220,0.835891,0.164109,0.784541,0.707649
222,0.835218,0.164782,0.783729,0.706899
224,0.836419,0.163581,0.785062,0.708172
226,0.835265,0.164735,0.784122,0.707137
228,0.834528,0.165472,0.783501,0.706463
230,0.834731,0.165269,0.783112,0.70634
232,0.836023,0.163977,0.78451,0.707691
234,0.834426,0.165574,0.782993,0.706138
236,0.833606,0.166394,0.781903,0.705169
238,0.832842,0.167158,0.781099,0.704384
240,0.833606,0.166394,0.78177,0.705097
242,0.833685,0.166315,0.781835,0.705167
244,0.833185,0.166815,0.781566,0.704794
246,0.832731,0.167269,0.78115,0.704362
248,0.833651,0.166349,0.78244,0.705485
250,0.833412,0.166588,0.782317,0.70531
252,0.833564,0.166436,0.78239,0.705419
254,0.834798,0.165202,0.783616,0.706648
256,0.834047,0.165953,0.782365,0.705622
258,0.835071,0.164929,0.782967,0.706414
260,0.836353,0.163647,0.78429,0.707718
262,0.836412,0.163588,0.783561,0.707344
264,0.835897,0.164103,0.782928,0.706764
266,0.835114,0.164886,0.781869,0.70583
268,0.835457,0.164543,0.781873,0.705985
270,0.838506,0.161494,0.786224,0.709751
272,0.834978,0.165022,0.781927,0.7058
274,0.836376,0.163624,0.783515,0.707302
276,0.835413,0.164587,0.782065,0.706071
278,0.835898,0.164102,0.782631,0.706601
280,0.836731,0.163269,0.783736,0.707584
282,0.836034,0.163966,0.783166,0.706957
284,0.834274,0.165726,0.781392,0.705189
286,0.835073,0.164927,0.782136,0.705958
288,0.834819,0.165181,0.78164,0.705571
290,0.835578,0.164422,0.782314,0.706283
292,0.835889,0.164111,0.782749,0.706662
294,0.835892,0.164108,0.782954,0.706776
296,0.835917,0.164083,0.78344,0.707055
298,0.836025,0.163975,0.783739,0.707268
300,0.835743,0.164257,0.783826,0.707189
302,0.836123,0.163877,0.784346,0.707646
304,0.835537,0.164463,0.783785,0.707073
306,0.835867,0.164133,0.784533,0.707633
308,0.836639,0.163361,0.785996,0.708785
310,0.835673,0.164327,0.785162,0.707892
312,0.836095,0.163905,0.786246,0.708678
314,0.835202,0.164798,0.784586,0.707363
316,0.835706,0.164294,0.785365,0.708018
318,0.835142,0.164858,0.784855,0.707484
320,0.835844,0.164156,0.785122,0.707947
322,0.835209,0.164791,0.784081,0.707088
324,0.835559,0.164441,0.784351,0.707395
326,0.833788,0.166212,0.782533,0.705598
328,0.83299,0.16701,0.781431,0.704633
330,0.833189,0.166811,0.781563,0.704795
332,0.834513,0.165487,0.782517,0.705915
334,0.833892,0.166108,0.781871,0.70528
336,0.83264,0.16736,0.780387,0.7039
338,0.832879,0.167121,0.780668,0.704163
340,0.833503,0.166497,0.781221,0.704748
342,0.833511,0.166489,0.781199,0.704739
344,0.834546,0.165454,0.781925,0.705604
346,0.83442,0.16558,0.78131,0.705209
