rotation_deg,inside_ratio,outside_ratio,iou,score
0,0.674337,0.325663,0.594227,0.530277
2,0.673564,0.326436,0.593691,0.529634
4,0.673461,0.326539,0.593539,0.529504
6,0.67431,0.32569,0.59446,0.530393
8,0.674114,0.325886,0.594244,0.530185
10,0.675004,0.324996,0.595131,0.531074
12,0.674257,0.325743,0.594155,0.530201
14,0.673449,0.326551,0.593353,0.529396
16,0.673709,0.326291,0.593464,0.529574
18,0.67327,0.32673,0.593258,0.529263
20,0.673066,0.326934,0.593232,0.529158
22,0.673626,0.326374,0.593617,0.529621
24,0.673055,0.326945,0.593339,0.529211
26,0.672205,0.327795,0.592309,0.528262
28,0.672203,0.327797,0.592434,0.52833
30,0.672669,0.327331,0.592485,0.528568
32,0.670851,0.329149,0.590783,0.526813
34,0.671583,0.328417,0.591005,0.527265
36,0.670806,0.329194,0.590086,0.52641
38,0.670445,0.329555,0.589385,0.525862
40,0.67142,0.32858,0.590201,0.52675
42,0.670413,0.329587,0.589336,0.525821
44,0.67064,0.32936,0.589798,0.526177
46,0.670455,0.329545,0.589405,0.525878
48,0.669557,0.330443,0.589095,0.525303
50,0.671008,0.328992,0.590396,0.526672
52,0.670347,0.329653,0.589753,0.52602
54,0.670449,0.329551,0.590195,0.526309
56,0.671967,0.328033,0.591561,0.527744
58,0.671583,0.328417,0.591507,0.527541
60,0.671886,0.328114,0.591555,0.527704
62,0.671772,0.328228,0.592144,0.527976
64,0.671236,0.328764,0.591349,0.527298
66,0.671604,0.328396,0.59147,0.52753
68,0.672278,0.327722,0.591954,0.5281
70,0.671909,0.328091,0.591839,0.52787
72,0.672177,0.327823,0.591958,0.528056
74,0.671686,0.328314,0.591387,0.527522
76,0.672158,0.327842,0.591521,0.527808
78,0.671798,0.328202,0.59142,0.52759
80,0.672369,0.327631,0.592294,0.528328
82,0.671839,0.328161,0.591974,0.527913
84,0.672081,0.327919,0.59182,0.527937
86,0.671646,0.328354,0.591434,0.527529
88,0.671716,0.328284,0.591106,0.527381
90,0.67233,0.32767,0.591453,0.527848
92,0.672082,0.327918,0.591137,0.527562
94,0.671871,0.328129,0.591286,0.527549
96,0.673445,0.326555,0.593119,0.529266
98,0.671774,0.328226,0.591429,0.527584
100,0.672776,0.327224,0.592461,0.528603
102,0.673074,0.326926,0.59253,0.528775
104,0.671957,0.328043,0.591987,0.527973
106,0.672602,0.327398,0.59283,0.528728
108,0.673137,0.326863,0.593136,0.529136
110,0.67296,0.32704,0.592667,0.528799
112,0.673277,0.326723,0.593558,0.529432
114,0.672479,0.327521,0.592567,0.528527
116,0.673496,0.326504,0.593407,0.529447
118,0.673773,0.326227,0.593608,0.529682
120,0.674827,0.325173,0.594661,0.530736
122,0.674666,0.325334,0.594865,0.530775
124,0.674289,0.325711,0.594498,0.530404
126,0.674147,0.325853,0.5942,0.530176
128,0.674949,0.325051,0.594907,0.530926
130,0.674943,0.325057,0.594716,0.530818
132,0.673631,0.326369,0.593602,0.529615
134,0.673868,0.326132,0.593397,0.529609
136,0.673046,0.326954,0.592481,0.528735
138,0.673323,0.326677,0.592867,0.529072
140,0.67394,0.32606,0.594101,0.530029
142,0.67294,0.32706,0.593013,0.52898
144,0.673399,0.326601,0.593904,0.529677
146,0.673585,0.326415,0.59381,0.529708
148,0.672379,0.327621,0.592661,0.528534
150,0.67284,0.32716,0.592554,0.528683
152,0.671221,0.328779,0.591168,0.527192
154,0.671419,0.328581,0.590933,0.527152
156,0.670979,0.329021,0.590183,0.526541
158,0.671862,0.328138,0.59066,0.527201
160,0.67057,0.32943,0.589621,0.526048
162,0.669776,0.330224,0.588499,0.525074
164,0.669503,0.330497,0.58838,0.524885
166,0.669701,0.330299,0.588319,0.524941
168,0.669992,0.330008,0.588874,0.525377
170,0.670565,0.329435,0.589376,0.525911
172,0.669514,0.330486,0.588416,0.52491
174,0.669775,0.330225,0.588976,0.525336
176,0.67053,0.32947,0.589634,0.526038
178,0.669365,0.330635,0.588634,0.524963
180,0.670919,0.329081,0.590245,0.526548
182,0.670281,0.329719,0.589637,0.525927
184,0.671402,0.328598,0.591021,0.527193
186,0.671464,0.328536,0.59108,0.527253
188,0.67151,0.32849,0.591102,0.527285
190,0.672958,0.327042,0.592816,0.52888
192,0.67345,0.32655,0.593707,0.529591
194,0.671515,0.328485,0.591907,0.527731
196,0.671854,0.328146,0.591616,0.527723
198,0.672612,0.327388,0.592537,0.528571
200,0.672454,0.327546,0.592195,0.528312
202,0.670987,0.329013,0.590769,0.526867
204,0.672201,0.327799,0.591977,0.528078
206,0.67249,0.32751,0.592379,0.528429
208,0.672017,0.327983,0.591479,0.527721
210,0.671933,0.328067,0.591489,0.527689
212,0.672035,0.327965,0.59149,0.527735
214,0.670559,0.329441,0.590315,0.526425
216,0.671542,0.328458,0.591102,0.5273
218,0.672328,0.327672,0.592075,0.528189
220,0.671482,0.328518,0.591252,0.527355
222,0.671669,0.328331,0.591172,0.527396
224,0.673443,0.326557,0.592915,0.529153
226,0.674256,0.325744,0.594249,0.530252
228,0.673562,0.326438,0.593568,0.529565
230,0.672602,0.327398,0.592956,0.528797
232,0.674262,0.325738,0.594593,0.530444
