rotation_deg,inside_ratio,outside_ratio,iou,score
0,1.0,0.0,0.665638,0.716101
2,1.0,0.0,0.664076,0.715242
4,0.998711,0.001289,0.656034,0.710239
6,0.994626,0.005374,0.648904,0.704479
8,0.988723,0.011277,0.640922,0.697433
10,0.983566,0.016434,0.633751,0.691168
12,0.977238,0.022762,0.626759,0.684475
14,0.972156,0.027844,0.622479,0.679834
16,0.967643,0.032357,0.617164,0.674879
18,0.96236,0.03764,0.612376,0.669869
20,0.958293,0.041707,0.607033,0.6651
22,0.954716,0.045284,0.603255,0.661412
24,0.951456,0.048544,0.600146,0.658236
26,0.947713,0.052287,0.59662,0.654612
28,0.944641,0.055359,0.593541,0.651536
30,0.942766,0.057234,0.590386,0.648957
32,0.939358,0.060642,0.589514,0.646944
34,0.93884,0.06116,0.587059,0.645361
36,0.93747,0.06253,0.585356,0.643807
38,0.936408,0.063592,0.58389,0.642523
40,0.934734,0.065266,0.58274,0.641138
42,0.934002,0.065998,0.581908,0.64035
44,0.93416,0.06584,0.582785,0.640904
46,0.934079,0.065921,0.581837,0.640346
48,0.93428,0.06572,0.58254,0.640823
50,0.935288,0.064712,0.582516,0.641263
52,0.935825,0.064175,0.583408,0.641996
54,0.937876,0.062124,0.585128,0.643865
56,0.93802,0.06198,0.587142,0.645037
58,0.940323,0.059677,0.589215,0.647214
60,0.942213,0.057787,0.592078,0.649639
62,0.945363,0.054637,0.59407,0.652152
64,0.947914,0.052086,0.596956,0.654887
66,0.951336,0.048664,0.599275,0.657702
68,0.954626,0.045374,0.603331,0.661414
70,0.958052,0.041948,0.606863,0.664898
72,0.962572,0.037428,0.612416,0.669986
74,0.967302,0.032698,0.616534,0.67438
76,0.971361,0.028639,0.621578,0.67898
78,0.976968,0.023032,0.627905,0.684984
80,0.982542,0.017458,0.632552,0.690048
82,0.988257,0.011743,0.640601,0.697046
84,0.994245,0.005755,0.648038,0.703831
86,0.997479,0.002521,0.656069,0.709703
88,1.0,0.0,0.661328,0.71373
90,1.0,0.0,0.660646,0.713355
92,1.0,0.0,0.662425,0.714334
94,0.998562,0.001438,0.65634,0.71034
96,0.994754,0.005246,0.64986,0.705062
98,0.989571,0.010429,0.642288,0.698566
100,0.984211,0.015789,0.634834,0.692054
102,0.979391,0.020609,0.62901,0.686681
104,0.973701,0.026299,0.623348,0.681006
106,0.968365,0.031635,0.617536,0.675409
108,0.963901,0.036099,0.61327,0.671054
110,0.959533,0.040467,0.609024,0.666753
112,0.956006,0.043994,0.605593,0.663279
114,0.95263,0.04737,0.602047,0.659809
116,0.950252,0.049748,0.598534,0.656807
118,0.947047,0.052953,0.595834,0.65388
120,0.944147,0.055853,0.592374,0.650672
122,0.942601,0.057399,0.592671,0.650139
124,0.940853,0.059147,0.589862,0.647808
126,0.938552,0.061448,0.586953,0.645173
128,0.937486,0.062514,0.585893,0.64411
130,0.937142,0.062858,0.584149,0.642996
132,0.936658,0.063342,0.584231,0.642823
134,0.936,0.064,0.583785,0.642282
136,0.936249,0.063751,0.584387,0.642725
138,0.936694,0.063306,0.584745,0.643122
140,0.936617,0.063383,0.585043,0.643252
142,0.938203,0.061797,0.585307,0.64411
144,0.939508,0.060492,0.587206,0.645742
146,0.940157,0.059843,0.589589,0.647344
148,0.942151,0.057849,0.591448,0.649265
150,0.944048,0.055952,0.593002,0.650973
152,0.946902,0.053098,0.596567,0.654218
154,0.948758,0.051242,0.598149,0.655923
156,0.95285,0.04715,0.60107,0.659371
158,0.956203,0.043797,0.605705,0.663429
160,0.960005,0.039995,0.609826,0.667407
162,0.96377,0.03623,0.613739,0.671253
164,0.968874,0.031126,0.618724,0.676292
166,0.973695,0.026305,0.624324,0.681541
168,0.978971,0.021029,0.630086,0.687084
170,0.984885,0.015115,0.635539,0.692744
172,0.990551,0.009449,0.642872,0.699328
174,0.995119,0.004881,0.649387,0.704967
176,0.999431,0.000569,0.658653,0.712003
178,1.0,0.0,0.665156,0.715836
180,1.0,0.0,0.665588,0.716074
182,1.0,0.0,0.664627,0.715545
184,0.999107,0.000893,0.655596,0.710176
186,0.994732,0.005268,0.649685,0.704956
188,0.988802,0.011198,0.641264,0.697656
190,0.983499,0.016501,0.63416,0.691362
192,0.978209,0.021791,0.628062,0.685628
194,0.972295,0.027705,0.622263,0.679777
196,0.968232,0.031768,0.617265,0.6752
198,0.963221,0.036779,0.612328,0.67023
200,0.95802,0.04198,0.607654,0.665319
202,0.954524,0.045476,0.604045,0.66176
204,0.95063,0.04937,0.600029,0.657799
206,0.947915,0.052085,0.596594,0.654689
208,0.945416,0.054584,0.593122,0.651654
210,0.943462,0.056538,0.592777,0.650585
212,0.940378,0.059622,0.589085,0.647167
214,0.938622,0.061378,0.588075,0.645821
216,0.937951,0.062049,0.586305,0.644546
218,0.936018,0.063982,0.584801,0.642849
220,0.934719,0.065281,0.58281,0.641169
222,0.934196,0.065804,0.583156,0.641124
224,0.934548,0.065452,0.582279,0.6408
226,0.933729,0.066271,0.582156,0.640364
228,0.934327,0.065673,0.583133,0.64117
230,0.935137,0.064863,0.583852,0.64193
232,0.937169,0.062831,0.584545,0.643226
234,0.937277,0.062723,0.58533,0.643706
236,0.937832,0.062168,0.586557,0.644631
238,0.94049,0.05951,0.589823,0.647623
240,0.943014,0.056986,0.591804,0.649849
242,0.944801,0.055199,0.5933,0.651475
244,0.947833,0.052167,0.59675,0.654737
246,0.951027,0.048973,0.600795,0.6584
248,0.954632,0.045368,0.603624,0.661578
250,0.958595,0.041405,0.608044,0.665792
252,0.962948,0.037052,0.612832,0.670384
254,0.967535,0.032465,0.616427,0.674426
256,0.971058,0.028942,0.621595,0.678853
258,0.976343,0.023657,0.62698,0.684194
260,0.983124,0.016876,0.633691,0.690936
262,0.988395,0.011605,0.640382,0.696988
264,0.993857,0.006143,0.64833,0.703817
266,0.997996,0.002004,0.656071,0.709937
268,1.0,0.0,0.663094,0.714702
270,1.0,0.0,0.660393,0.713216
272,1.0,0.0,0.664397,0.715418
274,0.998785,0.001215,0.65655,0.710556
276,0.994602,0.005398,0.649169,0.704614
278,0.989891,0.010109,0.64235,0.698743
280,0.98416,0.01584,0.63453,0.691863
282,0.979005,0.020995,0.629102,0.686558
284,0.973365,0.026635,0.624141,0.681292
286,0.968467,0.031533,0.618125,0.675779
288,0.964127,0.035873,0.614382,0.671767
290,0.960221,0.039779,0.609249,0.667187
292,0.956249,0.043751,0.604761,0.662931
294,0.952896,0.047104,0.601589,0.659677
296,0.949994,0.050006,0.598687,0.656775
298,0.94721,0.05279,0.595859,0.653967
300,0.944008,0.055992,0.592828,0.650859
302,0.942539,0.057461,0.591328,0.649373
304,0.939831,0.060169,0.589433,0.647112
306,0.938602,0.061398,0.587474,0.645482
308,0.938115,0.061885,0.585763,0.644321
310,0.936585,0.063415,0.585394,0.64343
312,0.93571,0.06429,0.583614,0.642057
314,0.935643,0.064357,0.58452,0.642525
316,0.935986,0.064014,0.584045,0.642419
318,0.935477,0.064523,0.583547,0.641916
320,0.937053,0.062947,0.584499,0.643148
322,0.937452,0.062548,0.585294,0.643765
324,0.938869,0.061131,0.586163,0.644881
326,0.940866,0.059134,0.589349,0.647531
328,0.94157,0.05843,0.590575,0.648523
330,0.944099,0.055901,0.592993,0.65099
332,0.947331,0.052669,0.595186,0.653651
334,0.949499,0.050501,0.597359,0.655822
336,0.952438,0.047562,0.601821,0.659598
338,0.956274,0.043726,0.60547,0.663332
340,0.959919,0.040081,0.609235,0.667042
342,0.963793,0.036207,0.613388,0.67107
344,0.968717,0.031283,0.617544,0.675572
346,0.973899,0.026101,0.624144,0.681534
348,0.979167,0.020833,0.630338,0.687311
350,0.984292,0.015708,0.635073,0.692222
352,0.989622,0.010378,0.642343,0.698619
354,0.99541,0.00459,0.648977,0.704872
356,0.999407,0.000593,0.658838,0.712094
358,1.0,0.0,0.664974,0.715736
