rotation_deg,inside_ratio,outside_ratio,iou,score
0,1.0,0.0,0.338277,0.536052
2,1.0,0.0,0.337768,0.535772
4,1.0,0.0,0.337342,0.535538
6,0.999804,0.000196,0.338578,0.53613
8,0.999168,0.000832,0.337587,0.535299
10,0.998874,0.001126,0.337233,0.534971
12,0.997552,0.002448,0.336441,0.533941
14,0.997258,0.002742,0.336093,0.533617
16,0.996425,0.003575,0.335623,0.532984
18,0.995834,0.004166,0.334933,0.532338
20,0.994873,0.005127,0.335671,0.532312
22,0.994276,0.005724,0.334733,0.531528
24,0.993688,0.006312,0.334303,0.531026
26,0.99316,0.00684,0.334551,0.530925
28,0.992671,0.007329,0.334308,0.530572
30,0.992735,0.007265,0.332799,0.52977
32,0.992301,0.007699,0.332832,0.529593
34,0.992564,0.007436,0.333796,0.530241
36,0.992112,0.007888,0.333058,0.529632
38,0.992514,0.007486,0.333697,0.530165
40,0.993179,0.006821,0.33314,0.530158
42,0.993446,0.006554,0.334276,0.530902
44,0.994075,0.005925,0.334254,0.531173
46,0.994758,0.005242,0.334513,0.531624
48,0.995542,0.004458,0.334949,0.532216
50,0.996716,0.003284,0.335513,0.533054
52,0.997207,0.002793,0.33569,0.533372
54,0.997748,0.002252,0.335849,0.533704
56,0.997504,0.002496,0.335396,0.533345
58,0.997149,0.002851,0.333824,0.532321
60,0.995589,0.004411,0.334144,0.531794
62,0.993992,0.006008,0.334479,0.53126
64,0.992646,0.007354,0.332827,0.529745
66,0.990986,0.009014,0.332337,0.528729
68,0.988925,0.011075,0.331166,0.527158
70,0.987596,0.012404,0.330294,0.52608
72,0.986359,0.013641,0.329427,0.525046
74,0.984622,0.015378,0.32921,0.524145
76,0.983047,0.016953,0.32733,0.522402
78,0.981719,0.018281,0.327541,0.521921
80,0.9807,0.0193,0.328037,0.521735
82,0.980264,0.019736,0.327128,0.521039
84,0.980144,0.019856,0.326684,0.520741
86,0.978443,0.021557,0.326086,0.519646
88,0.978544,0.021456,0.32545,0.519342
90,0.978571,0.021429,0.323619,0.518348
92,0.978909,0.021091,0.325925,0.519768
94,0.978476,0.021524,0.325817,0.519514
96,0.979502,0.020498,0.325534,0.51982
98,0.979958,0.020042,0.32754,0.521128
100,0.980377,0.019623,0.326579,0.520788
102,0.981502,0.018498,0.327942,0.522044
104,0.982506,0.017494,0.3289,0.523023
106,0.983769,0.016231,0.329365,0.523847
108,0.984862,0.015138,0.328139,0.523664
110,0.986718,0.013282,0.32997,0.525507
112,0.987718,0.012282,0.330997,0.526522
114,0.989864,0.010136,0.331952,0.528013
116,0.99163,0.00837,0.332964,0.529364
118,0.993427,0.006573,0.333152,0.530275
120,0.994898,0.005102,0.333664,0.531219
122,0.997014,0.002986,0.335253,0.533045
124,0.998134,0.001866,0.334884,0.533346
126,0.998634,0.001366,0.337274,0.534886
128,0.99858,0.00142,0.336424,0.534395
130,0.99809,0.00191,0.336403,0.534162
132,0.997066,0.002934,0.336446,0.533725
134,0.996721,0.003279,0.335965,0.533305
136,0.996332,0.003668,0.335943,0.533118
138,0.995877,0.004123,0.334431,0.532082
140,0.995296,0.004704,0.334734,0.531987
142,0.994772,0.005228,0.335379,0.532105
144,0.994906,0.005094,0.33469,0.531787
146,0.995061,0.004939,0.335291,0.532187
148,0.995092,0.004908,0.334105,0.531549
150,0.995099,0.004901,0.334513,0.531777
152,0.995494,0.004506,0.33501,0.532228
154,0.995876,0.004124,0.334436,0.532084
156,0.996275,0.003725,0.335226,0.532698
158,0.996429,0.003571,0.335915,0.533146
160,0.997304,0.002696,0.335712,0.533428
162,0.998034,0.001966,0.335266,0.533511
164,0.998529,0.001471,0.336376,0.534345
166,0.999169,0.000831,0.338123,0.535594
168,0.999462,0.000538,0.337742,0.535516
170,0.999902,9.8e-05,0.337948,0.535827
172,1.0,0.0,0.338326,0.536079
174,1.0,0.0,0.338714,0.536293
176,1.0,0.0,0.338211,0.536016
178,1.0,0.0,0.339024,0.536463
180,1.0,0.0,0.33919,0.536554
182,1.0,0.0,0.338741,0.536308
184,1.0,0.0,0.338077,0.535942
186,0.999706,0.000294,0.337351,0.535411
188,0.999266,0.000734,0.337731,0.535422
190,0.998478,0.001522,0.336122,0.534182
192,0.997745,0.002255,0.336094,0.533837
194,0.99691,0.00309,0.335436,0.533099
196,0.996242,0.003758,0.336732,0.533512
198,0.99573,0.00427,0.334481,0.532043
200,0.994793,0.005207,0.333631,0.531154
202,0.994179,0.005821,0.334722,0.531478
204,0.993242,0.006758,0.333802,0.53055
206,0.993005,0.006995,0.334083,0.530598
208,0.992734,0.007266,0.332672,0.5297
210,0.992447,0.007553,0.332909,0.529701
212,0.992403,0.007597,0.333096,0.529784
214,0.992388,0.007612,0.33026,0.528217
216,0.992359,0.007641,0.333229,0.529837
218,0.992769,0.007231,0.33433,0.530628
220,0.992938,0.007062,0.333163,0.530062
222,0.993261,0.006739,0.334716,0.531061
224,0.994217,0.005783,0.334061,0.531131
226,0.994559,0.005441,0.334193,0.531358
228,0.995247,0.004753,0.334717,0.531956
230,0.996136,0.003864,0.335805,0.532954
232,0.996532,0.003468,0.336323,0.533417
