rotation_deg,inside_ratio,outside_ratio,iou,score
0,0.975233,0.024767,0.483484,0.604771
2,0.975842,0.024158,0.483332,0.604962
4,0.976075,0.023925,0.482845,0.604798
6,0.975849,0.024151,0.484421,0.605564
8,0.975967,0.024033,0.483519,0.60512
10,0.975619,0.024381,0.482877,0.604611
12,0.976455,0.023545,0.483313,0.605227
14,0.976396,0.023604,0.482948,0.604999
16,0.977274,0.022726,0.4836,0.605753
18,0.977306,0.022694,0.482943,0.605406
20,0.978662,0.021338,0.485724,0.607546
22,0.979405,0.020595,0.485485,0.607749
24,0.981161,0.018839,0.486758,0.609239
26,0.982508,0.017492,0.488504,0.610806
28,0.983779,0.016221,0.488796,0.611538
30,0.985667,0.014333,0.487913,0.611903
32,0.986808,0.013192,0.488794,0.6129
34,0.987916,0.012084,0.491061,0.614646
36,0.987996,0.012004,0.490543,0.614397
38,0.988698,0.011302,0.492223,0.615636
40,0.988861,0.011139,0.491652,0.615396
42,0.988066,0.011934,0.49313,0.615851
44,0.988296,0.011704,0.492796,0.615771
46,0.98839,0.01161,0.492661,0.615739
48,0.988732,0.011268,0.493028,0.616095
50,0.989022,0.010978,0.493285,0.616367
52,0.989465,0.010535,0.493531,0.616701
54,0.989916,0.010084,0.493668,0.616979
56,0.989721,0.010279,0.492945,0.616494
58,0.989286,0.010714,0.490607,0.615012
60,0.987699,0.012301,0.49086,0.614438
62,0.986469,0.013531,0.491481,0.614226
64,0.986027,0.013973,0.489869,0.61314
66,0.984863,0.015137,0.489372,0.612343
68,0.983289,0.016711,0.487956,0.610856
70,0.982743,0.017257,0.487188,0.610187
72,0.982384,0.017616,0.486709,0.609763
74,0.981537,0.018463,0.486961,0.60952
76,0.980491,0.019509,0.484686,0.607798
78,0.979759,0.020241,0.485464,0.607896
80,0.979478,0.020522,0.486801,0.608506
82,0.979922,0.020078,0.486658,0.608626
84,0.980095,0.019905,0.48675,0.608755
86,0.978443,0.021557,0.486327,0.607779
88,0.978544,0.021456,0.485722,0.607492
90,0.978571,0.021429,0.482853,0.605926
92,0.978909,0.021091,0.485873,0.607739
94,0.97828,0.02172,0.485013,0.606983
96,0.978715,0.021285,0.483823,0.606524
98,0.978198,0.021802,0.485597,0.607268
100,0.977728,0.022272,0.483301,0.605793
102,0.977636,0.022364,0.48415,0.606219
104,0.97801,0.02199,0.485114,0.606917
106,0.978636,0.021364,0.48533,0.607318
108,0.978767,0.021233,0.482733,0.605949
110,0.979759,0.020241,0.484736,0.607496
112,0.980085,0.019915,0.485799,0.608228
114,0.981149,0.018851,0.486476,0.609079
116,0.983114,0.016886,0.488314,0.610974
118,0.983959,0.016041,0.487952,0.611155
120,0.985332,0.014668,0.488732,0.612202
122,0.987272,0.012728,0.491023,0.614335
124,0.988413,0.011587,0.490622,0.614628
126,0.98868,0.01132,0.493969,0.616589
128,0.988839,0.011161,0.492969,0.61611
130,0.989079,0.010921,0.493507,0.616515
132,0.988119,0.011881,0.49356,0.616111
134,0.988794,0.011206,0.493693,0.616488
136,0.988654,0.011346,0.493841,0.616507
138,0.989545,0.010455,0.492828,0.61635
140,0.989858,0.010142,0.493776,0.617013
142,0.989885,0.010115,0.494101,0.617204
144,0.990205,0.009795,0.492723,0.61659
146,0.989633,0.010367,0.492567,0.616247
148,0.988663,0.011337,0.490074,0.614439
150,0.988138,0.011862,0.49053,0.614454
152,0.98604,0.01396,0.489299,0.612833
154,0.98586,0.01414,0.488558,0.612344
156,0.983824,0.016176,0.488236,0.611251
158,0.982094,0.017906,0.487768,0.610215
160,0.981076,0.018924,0.48613,0.608855
162,0.980238,0.019762,0.484235,0.607436
164,0.979303,0.020697,0.484696,0.607269
166,0.977722,0.022278,0.4856,0.607055
168,0.976799,0.023201,0.484173,0.605854
170,0.976882,0.023118,0.484218,0.605917
172,0.976388,0.023612,0.484483,0.60584
174,0.975567,0.024433,0.484401,0.605426
176,0.9741,0.0259,0.482551,0.603748
178,0.973966,0.026034,0.483569,0.604248
180,0.974077,0.025923,0.48385,0.604452
182,0.974689,0.025311,0.483711,0.604651
184,0.97461,0.02539,0.482616,0.604013
186,0.974834,0.025166,0.481946,0.603746
188,0.974604,0.025396,0.482541,0.603969
190,0.974964,0.025036,0.480988,0.603277
192,0.975343,0.024657,0.481733,0.603858
194,0.976362,0.023638,0.482202,0.604574
196,0.975844,0.024156,0.483983,0.605321
198,0.977817,0.022183,0.482742,0.605526
200,0.97824,0.02176,0.482555,0.605613
202,0.978038,0.021962,0.484297,0.60648
204,0.979578,0.020422,0.48503,0.607577
206,0.981168,0.018832,0.486809,0.60927
208,0.98316,0.01684,0.486184,0.609823
210,0.984501,0.015499,0.48732,0.611052
212,0.98662,0.01338,0.489016,0.612938
214,0.988285,0.011715,0.486518,0.612313
216,0.988538,0.011462,0.491033,0.61491
218,0.988762,0.011238,0.492826,0.615998
220,0.989309,0.010691,0.492352,0.615982
222,0.988621,0.011379,0.494396,0.616798
224,0.989022,0.010978,0.49315,0.616292
226,0.988971,0.011029,0.493015,0.616195
228,0.988779,0.011221,0.493089,0.61615
230,0.989581,0.010419,0.494651,0.61737
232,0.989253,0.010747,0.494813,0.617311
234,0.99042,0.00958,0.492286,0.616446
236,0.990614,0.009386,0.494198,0.617586
238,0.990181,0.009819,0.491895,0.616124
240,0.989875,0.010125,0.491182,0.615594
242,0.988005,0.011995,0.491793,0.615088
244,0.986584,0.013416,0.4909,0.613958
246,0.985355,0.014645,0.488396,0.612028
248,0.983712,0.016288,0.489316,0.611795
250,0.982923,0.017077,0.488389,0.610929
252,0.982596,0.017404,0.487358,0.610215
254,0.982043,0.017957,0.485481,0.608934
256,0.981336,0.018664,0.487021,0.609463
258,0.980506,0.019494,0.486547,0.608829
260,0.980555,0.019445,0.486803,0.608991
262,0.980286,0.019714,0.487598,0.609308
264,0.979569,0.020431,0.486777,0.608533
266,0.979041,0.020959,0.487229,0.608545
268,0.97868,0.02132,0.487868,0.608733
270,0.978436,0.021564,0.487345,0.608336
272,0.978861,0.021139,0.485679,0.607611
274,0.978728,0.021272,0.484226,0.606752
276,0.977988,0.022012,0.485254,0.606984
278,0.977696,0.022304,0.483765,0.606034
280,0.977911,0.022089,0.483079,0.605754
282,0.978263,0.021737,0.483348,0.60606
284,0.977958,0.022042,0.483794,0.606168
286,0.977542,0.022458,0.483896,0.606037
288,0.978836,0.021164,0.484313,0.606849
290,0.979,0.021,0.483663,0.606565
292,0.979161,0.020839,0.485084,0.607419
294,0.980484,0.019516,0.486323,0.608695
296,0.981779,0.018221,0.486742,0.609508
298,0.983151,0.016849,0.487898,0.610762
300,0.984671,0.015329,0.487556,0.611258
302,0.986483,0.013517,0.490178,0.613515
304,0.987885,0.012115,0.488693,0.613329
306,0.987693,0.012307,0.490688,0.61434
308,0.987901,0.012099,0.491657,0.614967
310,0.987449,0.012551,0.49163,0.614748
312,0.987432,0.012568,0.49088,0.614328
314,0.987713,0.012287,0.490582,0.614291
316,0.987932,0.012068,0.491653,0.614979
318,0.98804,0.01196,0.492292,0.615379
320,0.989373,0.010627,0.493765,0.616789
322,0.989704,0.010296,0.492499,0.616242
324,0.989829,0.010171,0.491024,0.615486
326,0.989194,0.010806,0.492274,0.615888
328,0.98906,0.01094,0.49049,0.614847
330,0.987797,0.012203,0.490029,0.614025
332,0.987053,0.012947,0.491273,0.614374
334,0.985567,0.014433,0.488132,0.611978
336,0.984858,0.015142,0.487529,0.611327
338,0.982345,0.017655,0.488269,0.610603
340,0.98158,0.01842,0.488248,0.610248
342,0.981383,0.018617,0.486874,0.609403
344,0.980213,0.019787,0.485139,0.607922
346,0.979554,0.020446,0.484151,0.607082
348,0.978314,0.021686,0.486414,0.607769
350,0.977544,0.022456,0.485181,0.606744
352,0.977074,0.022926,0.485889,0.606922
354,0.976281,0.023719,0.48545,0.606324
356,0.975996,0.024004,0.484774,0.605824
358,0.975549,0.024451,0.484215,0.605315
