rotation_deg,inside_ratio,outside_ratio,iou,score
0,0.54429,0.45571,0.482143,0.410109
2,0.54229,0.45771,0.479469,0.407739
4,0.542721,0.457279,0.479861,0.408148
6,0.541961,0.458039,0.479645,0.407687
8,0.542147,0.457853,0.480503,0.408243
10,0.542884,0.457116,0.481548,0.409149
12,0.542656,0.457344,0.481719,0.409141
14,0.541592,0.458408,0.48109,0.408316
16,0.542288,0.457712,0.482035,0.409148
18,0.542109,0.457891,0.482147,0.40913
20,0.543506,0.456494,0.483617,0.410567
22,0.543758,0.456242,0.484466,0.411148
24,0.543583,0.456417,0.485297,0.411526
26,0.543449,0.456551,0.485777,0.411729
28,0.543199,0.456801,0.485899,0.411684
30,0.54451,0.45549,0.487268,0.413027
32,0.542885,0.457115,0.485909,0.411548
34,0.544554,0.455446,0.487291,0.413059
36,0.545723,0.454277,0.488078,0.414018
38,0.5467,0.4533,0.488378,0.414623
40,0.546615,0.453385,0.487335,0.414011
42,0.546934,0.453066,0.486979,0.413959
44,0.546043,0.453957,0.486002,0.413021
46,0.546801,0.453199,0.486708,0.41375
48,0.545696,0.454304,0.486105,0.412921
50,0.545475,0.454525,0.486663,0.413128
52,0.543943,0.456057,0.485668,0.411892
54,0.543198,0.456802,0.485077,0.411231
56,0.540419,0.459581,0.482586,0.408611
58,0.539768,0.460232,0.481781,0.407875
60,0.538298,0.461702,0.480051,0.406262
62,0.538479,0.461521,0.479685,0.406142
64,0.537521,0.462479,0.478158,0.404871
66,0.537957,0.462043,0.477948,0.404952
68,0.536431,0.463569,0.476353,0.403388
70,0.535573,0.464427,0.475417,0.402487
72,0.534592,0.465408,0.474337,0.401452
74,0.534807,0.465193,0.474347,0.401554
76,0.534238,0.465762,0.473771,0.400982
78,0.534486,0.465514,0.473957,0.401195
80,0.53586,0.46414,0.474955,0.402362
82,0.535216,0.464784,0.474263,0.401692
84,0.536317,0.463683,0.475129,0.402663
86,0.535281,0.464719,0.474016,0.401585
88,0.537661,0.462339,0.475918,0.403702
90,0.540967,0.459033,0.478338,0.406521
92,0.539671,0.460329,0.476634,0.405001
94,0.539869,0.460131,0.476475,0.405002
96,0.538778,0.461222,0.475864,0.404175
98,0.539262,0.460738,0.476906,0.404966
100,0.540453,0.459547,0.478451,0.406352
102,0.540337,0.459663,0.478799,0.406491
104,0.539908,0.460092,0.478749,0.406271
106,0.54007,0.45993,0.479304,0.406649
108,0.540437,0.459563,0.47993,0.407159
110,0.540492,0.459508,0.480311,0.407393
112,0.541009,0.458991,0.481041,0.408027
114,0.541635,0.458365,0.482311,0.409006
116,0.543083,0.456917,0.484425,0.410821
118,0.543292,0.456708,0.48531,0.411402
120,0.543864,0.456136,0.48635,0.412231
122,0.542938,0.457062,0.485833,0.41153
124,0.544794,0.455206,0.487729,0.413408
126,0.545863,0.454137,0.488612,0.414375
128,0.546743,0.453257,0.489224,0.415107
130,0.549097,0.450903,0.49069,0.416973
132,0.549545,0.450455,0.490094,0.416847
