piece,cavity_00,cavity_01,cavity_02,cavity_03
rectangle,0.882962,0.261421,0.589546,0.460145
square,0.716101,0.416977,0.883978,0.710278
circle,0.633386,0.531630,0.774765,0.888923
triangle,0.536554,0.886422,0.617586,0.658894
