rotation_deg,inside_ratio,outside_ratio,iou,score
0,1.0,0.0,0.975312,0.886422
2,0.999951,4.9e-05,0.950352,0.872671
4,0.989683,0.010317,0.904831,0.843015
6,0.967099,0.032901,0.860138,0.80827
8,0.945717,0.054283,0.82123,0.777249
10,0.923431,0.076569,0.78511,0.747354
12,0.903275,0.096725,0.753873,0.721104
14,0.885015,0.114985,0.726289,0.697715
16,0.867659,0.132341,0.701512,0.676278
18,0.851044,0.148956,0.677839,0.655781
20,0.835693,0.164307,0.659075,0.638553
22,0.821153,0.178847,0.639555,0.621274
24,0.807937,0.192063,0.622059,0.605704
26,0.796502,0.203498,0.608749,0.593238
28,0.78414,0.21586,0.593455,0.579264
30,0.77534,0.22466,0.58082,0.568354
32,0.765141,0.234859,0.569142,0.557342
34,0.756409,0.243591,0.559857,0.548305
36,0.747722,0.252278,0.54952,0.538711
38,0.740483,0.259517,0.541627,0.531112
40,0.735414,0.264586,0.534772,0.525061
42,0.727904,0.272096,0.527601,0.517737
44,0.723275,0.276725,0.522108,0.512633
46,0.718478,0.281522,0.516774,0.507541
48,0.715007,0.284993,0.512923,0.503861
50,0.711737,0.288263,0.509092,0.500282
52,0.709001,0.290999,0.506266,0.497497
54,0.706334,0.293666,0.503785,0.494932
56,0.704846,0.295154,0.502131,0.493353
58,0.705018,0.294982,0.500946,0.492779
60,0.703749,0.296251,0.500593,0.492013
62,0.702618,0.297382,0.500407,0.491402
64,0.705727,0.294273,0.502486,0.493944
66,0.705727,0.294273,0.50295,0.494199
68,0.70788,0.29212,0.505035,0.496315
70,0.710693,0.289307,0.508119,0.499277
72,0.714952,0.285048,0.51218,0.503427
74,0.71742,0.28258,0.515656,0.50645
76,0.721966,0.278034,0.519498,0.510608
78,0.726622,0.273378,0.525539,0.516026
80,0.730822,0.269178,0.531393,0.521136
82,0.738492,0.261508,0.539128,0.528842
84,0.74511,0.25489,0.546124,0.535668
86,0.752192,0.247808,0.554852,0.543655
88,0.760986,0.239014,0.563908,0.552593
90,0.772034,0.227966,0.574779,0.563544
92,0.780901,0.219099,0.588293,0.574966
94,0.790253,0.209747,0.599842,0.585527
96,0.803372,0.196628,0.614654,0.599577
98,0.813071,0.186929,0.62942,0.612063
100,0.827217,0.172783,0.646198,0.627657
102,0.839393,0.160607,0.663561,0.642685
104,0.855014,0.144986,0.685505,0.661784
106,0.870692,0.129308,0.707339,0.680848
108,0.887545,0.112455,0.730657,0.701257
110,0.900902,0.099098,0.754082,0.720151
112,0.912756,0.087244,0.776672,0.73791
114,0.927631,0.072369,0.790499,0.752208
116,0.939944,0.060056,0.801761,0.763943
118,0.94908,0.05092,0.813827,0.774691
120,0.950648,0.049352,0.826468,0.782349
122,0.952712,0.047288,0.83749,0.78934
124,0.952472,0.047528,0.835306,0.788031
126,0.944179,0.055821,0.827555,0.780036
128,0.937586,0.062414,0.810319,0.767589
130,0.923506,0.076494,0.785239,0.747459
132,0.903188,0.096812,0.754034,0.721153
134,0.88554,0.11446,0.726928,0.698303
136,0.868783,0.131217,0.703487,0.67787
138,0.854121,0.145879,0.681165,0.658995
140,0.837776,0.162224,0.659946,0.639969
142,0.821744,0.178256,0.640552,0.622088
144,0.810461,0.189539,0.62498,0.608447
146,0.797301,0.202699,0.609056,0.593766
148,0.787152,0.212848,0.595081,0.581513
150,0.777277,0.222723,0.583685,0.570801
152,0.766213,0.233787,0.571024,0.558859
154,0.759525,0.240475,0.561955,0.550861
156,0.750306,0.249694,0.552085,0.541285
158,0.742613,0.257387,0.543993,0.533372
160,0.736579,0.263421,0.536678,0.526633
162,0.731688,0.268312,0.529888,0.520698
164,0.726715,0.273285,0.525261,0.515915
166,0.720162,0.279838,0.519402,0.509744
168,0.71723,0.28277,0.515614,0.506341
170,0.714258,0.285742,0.51213,0.503088
172,0.711654,0.288346,0.509221,0.500316
174,0.709445,0.290555,0.507067,0.498137
176,0.708624,0.291376,0.505299,0.496795
178,0.706778,0.293222,0.504436,0.49549
180,0.705943,0.294057,0.503691,0.494704
182,0.707872,0.292128,0.505387,0.496505
184,0.708411,0.291589,0.505502,0.496811
186,0.709738,0.290262,0.506774,0.498108
188,0.710609,0.289391,0.50856,0.499482
190,0.714496,0.285504,0.511655,0.502933
192,0.717402,0.282598,0.515342,0.506269
194,0.721838,0.278162,0.520068,0.510864
196,0.724234,0.275766,0.524489,0.514374
198,0.73243,0.26757,0.531406,0.521867
200,0.737597,0.262403,0.536948,0.52724
202,0.742369,0.257631,0.544028,0.533282
204,0.749743,0.250257,0.55212,0.541051
206,0.756848,0.243152,0.560371,0.548786
208,0.766742,0.233258,0.570807,0.558978
210,0.775712,0.224288,0.582125,0.569239
212,0.785424,0.214576,0.593947,0.580111
214,0.799703,0.200297,0.607959,0.594244
216,0.808131,0.191869,0.622517,0.606043
218,0.819759,0.180241,0.638446,0.620037
220,0.835908,0.164092,0.658284,0.638215
222,0.84905,0.15095,0.677888,0.654911
224,0.866203,0.133797,0.699895,0.674734
226,0.882108,0.117892,0.722794,0.694485
228,0.899113,0.100887,0.750508,0.71738
230,0.916553,0.083447,0.781508,0.742278
232,0.927162,0.072838,0.811144,0.763352
234,0.941633,0.058367,0.837885,0.784571
236,0.951606,0.048394,0.842983,0.791863
238,0.959839,0.040161,0.848178,0.798425
240,0.961121,0.038879,0.84814,0.798981
242,0.957013,0.042987,0.835024,0.789919
244,0.949616,0.050384,0.818463,0.777482
