piece,cavity_00,cavity_01,cavity_02,cavity_03
rectangle,0.493089,0.123621,0.386170,0.316099
square,0.393890,0.223292,0.578476,0.487911
circle,0.349038,0.287242,0.533932,0.592097
triangle,0.292748,0.493729,0.484870,0.499548
